"id","name","partner_id/id","partner_shipping_id/id","partner_invoice_id/id","date_order","order_line/product_id/id","order_line/name","order_line/product_uom_qty","order_line/product_uom/id","order_line/id","order_line/price_unit"
"__export__.sale_order_766_895036c4","SO766","__export__.res_partner_2592_973a4b8c","__export__.res_partner_2593_8dd9bc7b","__export__.res_partner_2592_973a4b8c","2018-08-08 14:16:42","__export__.product_product_653_2e9afa1d","[FL0030] Purple Frost - Stargate - Flower - 3.5g","32.0","product.product_uom_unit","__export__.sale_order_line_6297_e68805bc","25.0"
"","","","","","","__export__.product_product_722_24fcc10d","[FL0046] Infinity - Prepackaged Indoor Flower - Purple Velvet - 3.5g","0.0","product.product_uom_unit","__export__.sale_order_line_6298_7eb5e9df","27.0"
"","","","","","","__export__.product_product_744_42a46449","[FL0056] Gold Coast - Prerolls 5 pack - Game Changer - 2.5g","20.0","product.product_uom_unit","__export__.sale_order_line_6299_a9b3b528","12.0"
"","","","","","","__export__.product_product_745_6913e209","[FL0059] Gold Coast - Prerolls 5 pack - Strawberry Banana - 2.5g","20.0","product.product_uom_unit","__export__.sale_order_line_6300_d87ba05b","12.0"
"","","","","","","__export__.product_product_737_44537ca6","[FL0051] Purple Frost - Purple Punch - Flower - 3.5g","0.0","product.product_uom_unit","__export__.sale_order_line_6301_9dd40a66","27.0"
"","","","","","","__export__.product_product_655_df873dc9","[FL0032] Purple Frost - Vanish - Flower - 3.5g","32.0","product.product_uom_unit","__export__.sale_order_line_6302_abbce4f0","25.0"
"","","","","","","__export__.product_product_732_74f355f1","[FL0050] Purple Frost - J Sparrow - Flower - 3.5g","0.0","product.product_uom_unit","__export__.sale_order_line_6303_d5729b49","27.0"
"","","","","","","__export__.product_product_685_99d273f0","[CO0064] Heavenly Sweet - Cannabutter - 1000mg THC - 4 oz","6.0","product.product_uom_unit","__export__.sale_order_line_6304_4780a3ad","22.0"
"","","","","","","__export__.product_product_686_daa79dd9","[CO0065] Heavenly Sweet - Cannabutter - 2000mg THC - 4 oz","6.0","product.product_uom_unit","__export__.sale_order_line_6305_73e25c67","33.0"
"","","","","","","__export__.product_product_632_53dc5821","[ED0068] Heavenly Sweet - Treats - Rocky Road - 100mg THC","10.0","product.product_uom_unit","__export__.sale_order_line_6306_c3b0f822","8.5"
"","","","","","","__export__.product_product_631_f20d09c8","[ED0067] Heavenly Sweet - Treats - Fruity - 100mg THC","20.0","product.product_uom_unit","__export__.sale_order_line_6307_1e33d0b8","8.5"
"","","","","","","__export__.product_product_676_98197942","[ED0085] Heavenly Sweet - Treats - Maui Waui - 100mg THC","10.0","product.product_uom_unit","__export__.sale_order_line_6308_6bbf5e82","8.5"
"","","","","","","__export__.product_product_677_eba191fc","[ED0085] Heavenly Sweet - Treats - Peanut Butter - 100mg THC","10.0","product.product_uom_unit","__export__.sale_order_line_6309_b1274939","8.5"
"","","","","","","__export__.product_product_678_4a779ca2","[ED0086] Heavenly Sweet - Treats - Rainbow - 100mg THC","10.0","product.product_uom_unit","__export__.sale_order_line_6310_6679d430","8.5"
"","","","","","","__export__.product_product_682_1958d875","[ED0090] Heavenly Sweet - Squookies - White Chocoloate Macadamia - 100mg THC","15.0","product.product_uom_unit","__export__.sale_order_line_6311_7405e0b9","8.5"
"","","","","","","__export__.product_product_700_8f069b53","[CO0060] Allegiance Wellness - 1:1 Ratio Relief Formula - 15ml","16.0","product.product_uom_unit","__export__.sale_order_line_6312_90d3d997","26.0"
"","","","","","","__export__.product_product_703_8fa23831","[CO0063] Allegiance Wellness - 8:1 Ratio Neurology Formula - 15ml","20.0","product.product_uom_unit","__export__.sale_order_line_6313_eb080b3b","26.0"
"","","","","","","__export__.product_product_701_368ebf15","[CO0061] Allegiance Wellness - 2:1 Ratio Defense Formula - 15ml","20.0","product.product_uom_unit","__export__.sale_order_line_6314_bb920de3","26.0"
"","","","","","","__export__.product_product_706_1b59a8f0","[CO0066] Allegiance Wellness - 1:4 Ratio Anxiety Formula - 15ml","20.0","product.product_uom_unit","__export__.sale_order_line_6315_0ee7d465","26.0"
"","","","","","","__export__.product_product_707_f4adab69","[CO0067] Allegiance Wellness - 1:8 Ratio Stress Formula - 15ml","24.0","product.product_uom_unit","__export__.sale_order_line_6316_08fa212e","26.0"
"","","","","","","__export__.product_product_705_f7dfe7a4","[CO0065] Allegiance Wellness - 1:2 Ratio Digestion Formula - 15ml","20.0","product.product_uom_unit","__export__.sale_order_line_6317_931b251c","26.0"
"","","","","","","__export__.product_product_633_806ff8a6","[ED0069] Heavenly Sweet - Squookie - Chocolate chip - 100mg THC","0.0","product.product_uom_unit","__export__.sale_order_line_6318_0dc6b013","8.5"
"","","","","","","__export__.product_product_636_9ffb15f3","[ED0072] Heavenly Sweet - Squookie - Salted Caramel - 100mg THC","6.0","product.product_uom_unit","__export__.sale_order_line_6319_2d082658","8.5"
"","","","","","","__export__.product_product_638_07857947","[ED0074] Heavenly Sweet - Munchies - Circus buddies - 100mg THC","15.0","product.product_uom_unit","__export__.sale_order_line_6320_0b40a1f0","8.5"
"","","","","","","__export__.product_product_643_5e3777c2","[ED0079] Heavenly Sweet - Munchies - Muddy Buddies - 100mg THC","15.0","product.product_uom_unit","__export__.sale_order_line_6321_bc30c441","8.5"
